Index,Proposition,Picture,result_true
1,บุคคลในภาพมีชื่อว่าอะไร,LionelMessi.jpg,Lionel Messi
2,บุคคลในภาพมีชื่อว่าอะไร,CristianoRonaldo.jpeg,Cristiano Ronaldo
3,บุคคลในภาพมีชื่อว่าอะไร,Xavi.jpeg,Xavi
4,บุคคลในภาพมีชื่อว่าอะไร,AndresIniesta.jpeg,Andres Iniesta
5,บุคคลในภาพมีชื่อว่าอะไร,ZlatanIbrahimovic.jpg,Zlatan Ibrahimovic
6,บุคคลในภาพมีชื่อว่าอะไร,RadamelFalcao.jpg,Radamel Falcao
7,บุคคลในภาพมีชื่อว่าอะไร,RobinvanPersie.jpg,Robin van Persie
8,บุคคลในภาพมีชื่อว่าอะไร,AndreaPirlo.jpg,Andrea Pirlo
9,บุคคลในภาพมีชื่อว่าอะไร,YayaToure.jpg,Yaya Toure
10,บุคคลในภาพมีชื่อว่าอะไร,EdinsonCavani.jpg,Edinson Cavani
11,บุคคลในภาพมีชื่อว่าอะไร,SergioAguero.jpg,Sergio Aguero
12,บุคคลในภาพมีชื่อว่าอะไร,IkerCasillas.jpg,Iker Casillas
13,บุคคลในภาพมีชื่อว่าอะไร,Neymar.jpg,Neymar
14,บุคคลในภาพมีชื่อว่าอะไร,SergioBusquets.jpg,Sergio Busquets
15,บุคคลในภาพมีชื่อว่าอะไร,XabiAlonso.jpg,Xabi Alonso
16,บุคคลในภาพมีชื่อว่าอะไร,ThiagoSilva.jpeg,Thiago Silva
17,บุคคลในภาพมีชื่อว่าอะไร,MesutOzil.jpg,Mesut Ozil
18,บุคคลในภาพมีชื่อว่าอะไร,DavidSilva.jpg,David Silva
19,บุคคลในภาพมีชื่อว่าอะไร,BastianSchweinsteiger.jpg,Bastian Schweinsteiger
20,บุคคลในภาพมีชื่อว่าอะไร,GianluigiBuffon.jpg,Gianluigi Buffon
21,บุคคลในภาพมีชื่อว่าอะไร,LuisSuarez.jpg,Luis Suarez
22,บุคคลในภาพมีชื่อว่าอะไร,SergioRamos.jpg,Sergio Ramos
23,บุคคลในภาพมีชื่อว่าอะไร,VincentKompany.jpg,Vincent Kompany
24,บุคคลในภาพมีชื่อว่าอะไร,GerardPique.jpeg,Gerard Pique
25,บุคคลในภาพมีชื่อว่าอะไร,PhilippLahm.jpg,Philipp Lahm
26,บุคคลในภาพมีชื่อว่าอะไร,Willian.jpg,Willian
27,บุคคลในภาพมีชื่อว่าอะไร,MarcoReus.jpg,Marco Reus
28,บุคคลในภาพมีชื่อว่าอะไร,FranckRibery.jpg,Franck Ribery
29,บุคคลในภาพมีชื่อว่าอะไร,ManuelNeuer.jpg,Manuel Neuer
30,บุคคลในภาพมีชื่อว่าอะไร,AshleyCole.jpg,Ashley Cole
31,บุคคลในภาพมีชื่อว่าอะไร,WayneRooney.jpg,Wayne Rooney
32,บุคคลในภาพมีชื่อว่าอะไร,JuanMata.jpg,Juan Mata
33,บุคคลในภาพมีชื่อว่าอะไร,ThomasMuller.jpg,Thomas Muller
34,บุคคลในภาพมีชื่อว่าอะไร,MarioGotze.jpg,Mario Gotze
35,บุคคลในภาพมีชื่อว่าอะไร,KarimBenzema.jpg,Karim Benzema
36,บุคคลในภาพมีชื่อว่าอะไร,CescFabregas.jpg,Cesc Fabregas
37,บุคคลในภาพมีชื่อว่าอะไร,Oscar.jpg,Oscar
38,บุคคลในภาพมีชื่อว่าอะไร,Fernandinho.jpg,Fernandinho
39,บุคคลในภาพมีชื่อว่าอะไร,JavierMascherano.jpg,Javier Mascherano
40,บุคคลในภาพมีชื่อว่าอะไร,GarethBale.jpg,Gareth Bale
41,บุคคลในภาพมีชื่อว่าอะไร,JavierZanetti.jpg,Javier Zanetti
42,บุคคลในภาพมีชื่อว่าอะไร,DanieleDeRossi.jpg,Daniele De Rossi
43,บุคคลในภาพมีชื่อว่าอะไร,DaniAlves.jpg,Dani Alves
44,บุคคลในภาพมีชื่อว่าอะไร,PetrCech.png,Petr Cech
45,บุคคลในภาพมีชื่อว่าอะไร,MatsHummels.jpeg,Mats Hummels
46,บุคคลในภาพมีชื่อว่าอะไร,CarlesPuyol.jpg,Carles Puyol
47,บุคคลในภาพมีชื่อว่าอะไร,AngelDiMaria.jpg,Angel Di Maria
48,บุคคลในภาพมีชื่อว่าอะไร,CarlosTevez.jpg,Carlos Tevez
49,บุคคลในภาพมีชื่อว่าอะไร,DidierDrogba.jpg,Didier Drogba
50,บุคคลในภาพมีชื่อว่าอะไร,GiorgioChiellini.jpg,Giorgio Chiellini
